Category,Product,Price,Storage_GB,Color,Chip,Spec_Text
iPad,iPad mini (A15 Chip),170000,64,Space Grey,A15,iPad mini (A15 Chip) A15 64GB Space Grey
iPad,iPad mini (A15 Chip),215000,256,Space Grey,A15,iPad mini (A15 Chip) A15 256GB Space Grey
iPad,iPad mini (A15 Chip),170000,64,Pink,A15,iPad mini (A15 Chip) A15 64GB Pink
iPad,iPad mini (A15 Chip),215000,256,Pink,A15,iPad mini (A15 Chip) A15 256GB Pink
iPad,iPad mini (A15 Chip),170000,64,Purple,A15,iPad mini (A15 Chip) A15 64GB Purple
iPad,iPad mini (A15 Chip),215000,256,Purple,A15,iPad mini (A15 Chip) A15 256GB Purple
iPad,iPad mini (A15 Chip),170000,64,Starlight,A15,iPad mini (A15 Chip) A15 64GB Starlight
iPad,iPad mini (A15 Chip),215000,256,Starlight,A15,iPad mini (A15 Chip) A15 256GB Starlight
Watch,Apple Watch Series 10,289999,0,Natural,Unknown,Apple Watch Series 10 Unknown 0GB Natural
Watch,Apple Watch Series 10,289999,0,Slate,Unknown,Apple Watch Series 10 Unknown 0GB Slate
Watch,Apple Watch Series 10,289999,0,Gold,Unknown,Apple Watch Series 10 Unknown 0GB Gold
Watch,Apple Watch Series 10,268499,0,Gold,Unknown,Apple Watch Series 10 Unknown 0GB Gold
Watch,Apple Watch Series 10,268499,0,Natural,Unknown,Apple Watch Series 10 Unknown 0GB Natural
Watch,Apple Watch Series 10,129999,0,Unknown,Unknown,Apple Watch Series 10 Unknown 0GB Unknown
Watch,Apple Watch Series 10,139999,0,Unknown,Unknown,Apple Watch Series 10 Unknown 0GB Unknown
Watch,Apple Watch Series 10,268499,0,Slate,Unknown,Apple Watch Series 10 Unknown 0GB Slate
Watch,Apple Watch Series 10,154999,0,Silver,Unknown,Apple Watch Series 10 Unknown 0GB Silver
Watch,Apple Watch Series 10,154999,0,Rose Gold,Unknown,Apple Watch Series 10 Unknown 0GB Rose Gold
Watch,Apple Watch Series 10,154999,0,Jet Black,Unknown,Apple Watch Series 10 Unknown 0GB Jet Black
iPad,iPad Pro (M4 Chip),390000,512,Silver,M4,iPad Pro (M4 Chip) M4 512GB Silver
iPad,iPad Pro (M4 Chip),390000,512,Space Black,M4,iPad Pro (M4 Chip) M4 512GB Space Black
iPad,iPad Pro (M4 Chip),450000,512,Silver,M4,iPad Pro (M4 Chip) M4 512GB Silver
iPad,iPad Pro (M4 Chip),450000,512,Space Black,M4,iPad Pro (M4 Chip) M4 512GB Space Black
iPad,iPad Pro (M4 Chip),315000,256,Silver,M4,iPad Pro (M4 Chip) M4 256GB Silver
